Id,Credit Score,Income,Employment Status,Debt-to-Income Ratio,Loan Amount,Loan Purpose,Marital Status,Number of Dependents,Residence Status,Previous Loan History,Bank Account Balance,Education Level,Existing Loan Balance,Maximum Loan Limit,Loan Approval Status
2396,532,18476,Employed,0.311,19178,Personal Expenses,Married,1,Living with Parents,Defaulted,9303,Bachelor,11845.800975493288,0,0
2397,646,131846,Employed,0.4,54051,Home Purchase,Married,3,Living with Parents,No Previous Loan,22705,Bachelor,0.0,53232,0
2398,742,103294,Employed,0.214,33509,Personal Expenses,Married,2,Renter,No Previous Loan,10421,Master or above,0.0,47902,1
2399,778,74980,Employed,0.294,4009,Personal Expenses,Single,3,Living with Parents,No Previous Loan,5289,Bachelor,0.0,36459,1
2400,746,155724,Employed,0.234,13379,Personal Expenses,Married,1,Renter,No Previous Loan,6985,High School,0.0,72606,1
2401,800,36806,Employed,0.276,14791,Car Purchase,Single,1,Owner,Paid in Full,9201,High School,0.0,18403,1
2402,607,154185,Employed,0.1,128971,Education,Single,0,Living with Parents,No Previous Loan,5448,Bachelor,0.0,58493,1
2403,756,37030,Employed,0.151,10786,Personal Expenses,Married,2,Owner,No Previous Loan,8345,High School,0.0,17496,1
2404,690,67607,Employed,0.24,5615,Home Purchase,Single,1,Renter,No Previous Loan,26828,High School,0.0,29155,1
2405,800,31735,Employed,0.321,23251,Home Purchase,Single,1,Renter,Paid in Full,6070,Bachelor,0.0,15867,1
2406,505,60442,Employed,0.118,24656,Car Purchase,Married,1,Renter,Defaulted,2676,Bachelor,4129.121594102738,14947,1
2407,722,72779,Employed,0.1,13933,Personal Expenses,Single,2,Owner,No Previous Loan,15132,Master or above,0.0,32841,1
2408,735,0,Unemployed,0.15,12034,Education,Married,4,Renter,Paid in Full,14251,Bachelor,1295.8951282493156,0,0
2409,784,85736,Employed,0.301,38743,Education,Married,1,Owner,No Previous Loan,11628,Bachelor,0.0,42010,1
2410,624,63045,Employed,0.1,6388,Education,Single,2,Renter,No Previous Loan,15548,Bachelor,0.0,24587,1
2411,800,46207,Employed,0.1,10666,Education,Married,1,Renter,No Previous Loan,3273,High School,0.0,23103,1
2412,449,45192,Employed,0.216,8898,Home Purchase,Single,1,Living with Parents,Defaulted,9347,Bachelor,6655.598961298587,6026,0
2413,729,89999,Employed,0.188,44788,Education,Married,1,Renter,Paid in Full,5269,High School,0.0,41005,1
2414,800,43270,Employed,0.259,19956,Education,Single,2,Living with Parents,Paid in Full,51394,Master or above,0.0,21635,1
2415,743,0,Unemployed,0.1,5170,Education,Married,2,Renter,No Previous Loan,8518,High School,0.0,0,0
2416,754,110575,Employed,0.168,5717,Personal Expenses,Married,3,Renter,No Previous Loan,11322,Master or above,0.0,52108,1
2417,742,26049,Employed,0.32,97657,Education,Divorced,0,Renter,Paid in Full,1011,Master or above,0.0,12080,1
2418,772,105721,Employed,0.1,44312,Personal Expenses,Single,1,Renter,No Previous Loan,1560,High School,0.0,51010,1
2419,712,168099,Employed,0.348,34799,Car Purchase,Single,0,Owner,No Previous Loan,42493,Bachelor,0.0,74804,1
2420,536,68057,Employed,0.1,15184,Education,Single,1,Renter,No Previous Loan,9738,Master or above,0.0,22799,1
2421,800,80954,Employed,0.285,67797,Personal Expenses,Single,0,Owner,Paid in Full,5453,Bachelor,0.0,40477,1
2422,634,100770,Self-employed,0.163,4976,Personal Expenses,Single,2,Renter,No Previous Loan,5893,High School,0.0,39930,0
2423,670,52279,Employed,0.1,31849,Education,Married,1,Renter,No Previous Loan,12132,High School,0.0,21891,0
2424,584,65725,Employed,0.15,9628,Home Purchase,Single,1,Renter,No Previous Loan,12295,High School,0.0,23989,1
2425,629,0,Unemployed,0.254,11694,Car Purchase,Single,2,Renter,Paid in Full,6180,Master or above,0.0,0,0
2426,710,64306,Employed,0.199,30995,Home Purchase,Married,5,Renter,No Previous Loan,12005,Bachelor,0.0,28535,1
2427,800,0,Unemployed,0.312,12994,Home Purchase,Single,2,Owner,Paid in Full,5664,High School,0.0,0,0
2428,674,77666,Employed,0.344,9711,Education,Single,1,Owner,No Previous Loan,13756,Master or above,0.0,32716,1
2429,753,102212,Self-employed,0.1,9142,Personal Expenses,Married,5,Renter,Paid in Full,30688,Bachelor,0.0,48103,1
2430,535,40729,Employed,0.1,2057,Education,Single,1,Renter,Defaulted,7112,Master or above,10002.361929374201,3616,0
2431,446,45972,Self-employed,0.1,32177,Home Purchase,Married,7,Renter,Paid in Full,10886,Master or above,0.0,12814,0
2432,479,0,Unemployed,0.11,5481,Home Purchase,Single,0,Living with Parents,No Previous Loan,7430,Bachelor,0.0,0,0
2433,800,55655,Employed,0.31,96202,Education,Married,5,Owner,No Previous Loan,1208,High School,0.0,27827,1
2434,375,0,Unemployed,0.256,11250,Personal Expenses,Single,3,Living with Parents,Defaulted,24571,Bachelor,18423.768319175833,0,0
2435,715,58023,Employed,0.145,55561,Personal Expenses,Single,1,Living with Parents,Paid in Full,5827,Bachelor,0.0,25929,1
2436,800,39785,Employed,0.199,2457,Personal Expenses,Single,2,Living with Parents,No Previous Loan,6291,Master or above,0.0,19892,1
2437,800,135112,Employed,0.34,31172,Personal Expenses,Single,0,Renter,Paid in Full,15572,High School,1970.2146157166565,65585,1
2438,575,46085,Employed,0.391,40310,Car Purchase,Divorced,0,Living with Parents,Defaulted,55444,Bachelor,17775.41520510762,0,0
2439,658,34147,Employed,0.226,55235,Personal Expenses,Single,2,Living with Parents,No Previous Loan,20684,Master or above,0.0,14042,0
2440,800,47893,Employed,0.1,3254,Home Purchase,Married,1,Renter,Paid in Full,8021,High School,1284.1107945320514,22662,1
2441,642,22053,Employed,0.23,7428,Home Purchase,Married,2,Living with Parents,No Previous Loan,20430,Bachelor,0.0,8848,0
2442,694,43323,Self-employed,0.293,26697,Home Purchase,Single,0,Living with Parents,No Previous Loan,16655,Master or above,0.0,18791,1
2443,612,36976,Self-employed,0.222,17400,Home Purchase,Married,1,Renter,Paid in Full,8996,Bachelor,0.0,14143,0
2444,630,81700,Employed,0.273,20113,Home Purchase,Married,2,Renter,No Previous Loan,26388,High School,0.0,32169,1
2445,649,42847,Employed,0.236,10462,Personal Expenses,Married,1,Renter,Defaulted,21715,Bachelor,2288.362163119298,15091,0
2446,619,93526,Employed,0.1,70728,Car Purchase,Married,2,Renter,Paid in Full,60783,High School,0.0,36182,1
2447,474,120733,Employed,0.111,203672,Personal Expenses,Single,1,Renter,Defaulted,7002,Bachelor,8437.130604016773,27330,1
2448,700,88670,Employed,0.168,16643,Personal Expenses,Single,1,Renter,No Previous Loan,10712,High School,0.0,38793,1
2449,558,53874,Employed,0.307,23605,Personal Expenses,Single,1,Renter,No Previous Loan,53437,Bachelor,0.0,18788,0
2450,671,64386,Employed,0.123,15867,Personal Expenses,Married,4,Renter,No Previous Loan,4886,Master or above,0.0,27001,1
2451,433,0,Unemployed,0.246,54168,Personal Expenses,Single,2,Renter,No Previous Loan,7190,Master or above,0.0,0,0
2452,675,56117,Employed,0.23,34369,Car Purchase,Divorced,0,Renter,Paid in Full,7815,High School,0.0,23674,0
2453,791,39021,Employed,0.359,5163,Education,Single,1,Renter,No Previous Loan,12022,Bachelor,0.0,19291,1
2454,725,84902,Employed,0.196,8128,Personal Expenses,Married,2,Renter,Paid in Full,24739,High School,0.0,38471,1
2455,668,217178,Employed,0.1,5467,Personal Expenses,Married,2,Owner,Paid in Full,17185,Bachelor,607.6767016172687,90064,1
2456,648,77034,Employed,0.265,222043,Personal Expenses,Married,2,Living with Parents,No Previous Loan,3428,Bachelor,0.0,31198,1
2457,800,22170,Employed,0.4,28314,Personal Expenses,Single,1,Renter,Paid in Full,14077,Bachelor,0.0,11085,1
2458,687,50085,Employed,0.271,8267,Education,Single,0,Living with Parents,No Previous Loan,27620,Bachelor,0.0,21505,1
2459,777,63789,Employed,0.121,7633,Personal Expenses,Married,4,Renter,No Previous Loan,28901,Bachelor,0.0,30977,1
2460,693,0,Unemployed,0.1,33558,Personal Expenses,Divorced,3,Owner,Paid in Full,129313,High School,1085.5149916715425,0,0
2461,729,41634,Self-employed,0.105,37076,Car Purchase,Single,4,Owner,Paid in Full,26091,Bachelor,0.0,18969,1
2462,800,67829,Employed,0.4,33320,Education,Married,2,Owner,Paid in Full,2299,Master or above,0.0,33914,1
2463,794,32236,Employed,0.167,9801,Personal Expenses,Single,0,Renter,Paid in Full,10137,High School,0.0,15997,1
2464,781,37408,Employed,0.134,20366,Car Purchase,Married,3,Owner,Paid in Full,6959,Bachelor,0.0,18259,1
2465,800,82867,Employed,0.184,16759,Personal Expenses,Married,3,Owner,No Previous Loan,7113,High School,0.0,41433,1
2466,568,36107,Employed,0.168,5881,Home Purchase,Married,1,Renter,Defaulted,8786,Bachelor,16535.519112687838,0,0
2467,486,78527,Employed,0.357,5939,Car Purchase,Single,1,Renter,Defaulted,20517,High School,37133.43731638092,0,0
2468,661,30253,Employed,0.1,22646,Car Purchase,Single,1,Renter,No Previous Loan,6022,Bachelor,0.0,12498,0
2469,671,145003,Employed,0.318,18256,Education,Married,4,Owner,Defaulted,8227,High School,2659.6551403612193,58150,1
2470,695,40739,Employed,0.212,26086,Home Purchase,Married,2,Living with Parents,Paid in Full,1851,Bachelor,0.0,17696,1
2471,611,0,Unemployed,0.321,33084,Home Purchase,Married,1,Owner,Paid in Full,1790,Bachelor,0.0,0,0
2472,608,0,Unemployed,0.358,67183,Personal Expenses,Single,1,Owner,No Previous Loan,16939,High School,0.0,0,0
2473,616,45225,Self-employed,0.208,6904,Car Purchase,Single,2,Owner,No Previous Loan,18099,Bachelor,0.0,17411,0
2474,800,64460,Employed,0.168,28170,Car Purchase,Single,0,Owner,Paid in Full,10581,Master or above,1227.051289685263,31002,1
2475,724,79999,Self-employed,0.207,31729,Personal Expenses,Married,3,Renter,No Previous Loan,43086,Bachelor,0.0,36199,1
2476,800,96994,Employed,0.191,10978,Car Purchase,Married,1,Owner,Paid in Full,13768,Bachelor,650.9891519262837,47846,1
2477,492,89129,Self-employed,0.1,16943,Personal Expenses,Married,1,Renter,No Previous Loan,1975,Bachelor,0.0,27407,0
2478,692,55060,Employed,0.355,11262,Car Purchase,Single,0,Renter,No Previous Loan,22834,Bachelor,0.0,23813,1
2479,551,55758,Self-employed,0.225,123549,Personal Expenses,Single,4,Renter,No Previous Loan,1723,High School,0.0,19201,0
2480,396,194201,Employed,0.1,16658,Education,Divorced,2,Living with Parents,Defaulted,58985,Bachelor,2803.266422481165,45261,1
2481,800,96475,Self-employed,0.1,23560,Personal Expenses,Married,1,Renter,No Previous Loan,40127,Master or above,0.0,48237,1
2482,646,0,Unemployed,0.1,11519,Car Purchase,Single,0,Living with Parents,Paid in Full,73344,High School,0.0,0,0
2483,623,63075,Employed,0.277,9285,Car Purchase,Single,1,Renter,Paid in Full,32182,Bachelor,0.0,24559,1
2484,713,50742,Employed,0.138,4079,Personal Expenses,Married,2,Living with Parents,Paid in Full,25206,High School,0.0,22611,1
2485,627,0,Unemployed,0.155,45056,Personal Expenses,Single,0,Living with Parents,Paid in Full,38448,High School,0.0,0,0
2486,502,32446,Employed,0.249,32345,Personal Expenses,Married,1,Living with Parents,Defaulted,12296,High School,4025.174661653752,6154,0
2487,702,48831,Self-employed,0.148,11100,Home Purchase,Single,0,Living with Parents,Paid in Full,3295,Bachelor,0.0,21424,1
2488,735,148431,Employed,0.255,6096,Education,Married,1,Living with Parents,Paid in Full,23135,Bachelor,0.0,68185,1
2489,428,80148,Employed,0.21,17956,Car Purchase,Married,5,Renter,Defaulted,37638,High School,6956.606961350978,14482,1
2490,433,17266,Employed,0.192,9118,Home Purchase,Single,4,Living with Parents,No Previous Loan,48044,High School,0.0,4672,0
2491,576,110245,Employed,0.1,12013,Education,Married,1,Renter,No Previous Loan,3317,Master or above,0.0,39688,1
2492,599,103457,Self-employed,0.118,4239,Personal Expenses,Single,0,Living with Parents,Paid in Full,675,Bachelor,0.0,38731,0
2493,705,50134,Employed,0.26,18636,Home Purchase,Single,1,Living with Parents,No Previous Loan,20753,Bachelor,0.0,22090,1
2494,800,85882,Employed,0.132,19011,Home Purchase,Single,1,Renter,Paid in Full,24885,High School,929.0194441120813,42011,1
2495,741,39042,Employed,0.321,44825,Home Purchase,Married,1,Living with Parents,Paid in Full,2524,Master or above,1212.7055346167542,16868,1
2496,652,47428,Employed,0.4,12901,Personal Expenses,Single,1,Renter,Paid in Full,6618,High School,0.0,19326,0
2497,482,126927,Self-employed,0.266,10745,Education,Single,0,Living with Parents,Defaulted,11206,Master or above,75058.25254791732,0,0
2498,349,0,Unemployed,0.349,3162,Car Purchase,Single,0,Renter,Defaulted,8003,High School,14186.690234798598,0,0
2499,727,23558,Employed,0.272,45105,Personal Expenses,Married,4,Owner,No Previous Loan,3375,Master or above,0.0,10704,1
2500,713,58130,Self-employed,0.147,36630,Home Purchase,Married,3,Owner,No Previous Loan,26915,Bachelor,0.0,25904,1
2501,800,57688,Self-employed,0.22,15437,Car Purchase,Single,0,Owner,Paid in Full,11454,Master or above,0.0,28844,1
2502,641,109237,Employed,0.4,3970,Home Purchase,Single,3,Living with Parents,Paid in Full,15035,High School,0.0,43763,0
2503,650,0,Unemployed,0.148,4452,Home Purchase,Married,1,Renter,No Previous Loan,20667,Master or above,0.0,0,0
2504,704,48596,Employed,0.1,8679,Home Purchase,Single,1,Renter,No Previous Loan,66941,High School,0.0,21382,1
2505,529,101177,Employed,0.1,39380,Car Purchase,Married,1,Living with Parents,No Previous Loan,7098,High School,0.0,33451,1
2506,528,63735,Self-employed,0.178,20053,Education,Single,0,Renter,Defaulted,37939,Bachelor,11254.425254668085,9778,0
2507,651,41236,Employed,0.1,3369,Home Purchase,Married,2,Owner,No Previous Loan,18502,Bachelor,0.0,16777,1
2508,800,106894,Self-employed,0.367,22471,Home Purchase,Single,0,Renter,No Previous Loan,4766,High School,0.0,53447,1
2509,800,66100,Self-employed,0.222,6481,Home Purchase,Single,3,Owner,Paid in Full,10648,Bachelor,1209.638901997962,31840,1
2510,568,60087,Employed,0.297,8898,Home Purchase,Married,4,Renter,No Previous Loan,28490,Master or above,0.0,21330,1
2511,738,65581,Self-employed,0.17,39637,Home Purchase,Married,1,Renter,No Previous Loan,11140,Bachelor,0.0,30249,1
2512,789,35128,Employed,0.1,32251,Home Purchase,Single,1,Renter,No Previous Loan,21906,Master or above,0.0,17322,1
2513,800,46086,Employed,0.1,44752,Personal Expenses,Married,4,Owner,No Previous Loan,6911,Master or above,0.0,23043,1
2514,625,60107,Employed,0.109,14656,Education,Single,0,Renter,Defaulted,2428,High School,5044.313025350256,18434,1
2515,579,0,Unemployed,0.235,36273,Personal Expenses,Married,1,Renter,No Previous Loan,2922,Bachelor,0.0,0,0
2516,703,113358,Employed,0.252,8347,Personal Expenses,Single,2,Renter,No Previous Loan,7439,Bachelor,0.0,49806,1
2517,657,66889,Employed,0.26,11593,Education,Single,0,Owner,Defaulted,23931,High School,71418.28340189846,0,1
2518,720,92000,Employed,0.1,10823,Personal Expenses,Married,1,Renter,No Previous Loan,16136,Bachelor,0.0,41400,1
2519,617,60282,Self-employed,0.2,15362,Education,Single,1,Owner,No Previous Loan,19260,Bachelor,0.0,23246,1
2520,800,101746,Employed,0.1,4143,Education,Married,1,Living with Parents,Paid in Full,4905,High School,0.0,50873,1
2521,768,73193,Employed,0.24,11977,Personal Expenses,Married,1,Owner,Paid in Full,6554,Bachelor,0.0,35132,1
2522,800,60403,Employed,0.248,64052,Home Purchase,Married,2,Renter,Paid in Full,4100,High School,0.0,30201,1
2523,712,59602,Employed,0.1,5030,Home Purchase,Married,1,Owner,No Previous Loan,5354,Bachelor,0.0,26522,1
2524,713,37230,Self-employed,0.297,3969,Home Purchase,Single,0,Renter,No Previous Loan,44553,High School,0.0,16590,0
2525,800,77308,Employed,0.4,4303,Personal Expenses,Married,3,Owner,Paid in Full,16728,Bachelor,0.0,38654,1
2526,793,58805,Employed,0.283,214843,Car Purchase,Single,0,Owner,No Previous Loan,6707,Bachelor,0.0,29145,1
2527,664,0,Unemployed,0.184,23876,Personal Expenses,Married,2,Living with Parents,Paid in Full,4259,Bachelor,0.0,0,0
2528,743,104331,Employed,0.168,11447,Car Purchase,Married,1,Renter,No Previous Loan,4251,High School,0.0,48448,1
2529,526,0,Unemployed,0.179,16060,Car Purchase,Married,4,Renter,No Previous Loan,7255,Bachelor,0.0,0,0
2530,428,48574,Employed,0.124,18834,Car Purchase,Single,0,Living with Parents,Defaulted,22659,Bachelor,4707.696150549719,8285,0
2531,800,100303,Self-employed,0.225,7905,Education,Single,1,Owner,Paid in Full,3068,Bachelor,0.0,50151,1
2532,691,70253,Employed,0.1,8942,Personal Expenses,Single,0,Renter,No Previous Loan,39630,Bachelor,0.0,30340,1
2533,800,58581,Employed,0.1,12811,Car Purchase,Married,2,Owner,Paid in Full,46354,High School,0.0,29290,1
2534,738,68023,Self-employed,0.222,7266,Education,Married,1,Living with Parents,No Previous Loan,12635,Master or above,0.0,31375,1
2535,455,65631,Self-employed,0.202,10085,Home Purchase,Married,2,Renter,Defaulted,12617,High School,59781.08997364606,0,0
2536,493,28106,Self-employed,0.143,21351,Education,Divorced,2,Living with Parents,No Previous Loan,18979,Bachelor,0.0,8660,0
2537,780,50386,Employed,0.1,5533,Education,Divorced,4,Owner,No Previous Loan,2417,High School,0.0,24563,1
2538,674,134640,Self-employed,0.229,203975,Personal Expenses,Single,1,Renter,Paid in Full,2022,Master or above,0.0,56717,0
2539,601,43150,Self-employed,0.101,31855,Personal Expenses,Single,1,Renter,Paid in Full,12501,Bachelor,0.0,16208,0
2540,553,51172,Employed,0.186,4212,Car Purchase,Single,0,Owner,Paid in Full,3094,Bachelor,0.0,17686,1
2541,707,45765,Self-employed,0.376,1258,Home Purchase,Married,1,Renter,No Previous Loan,4979,High School,0.0,20222,0
2542,635,57445,Self-employed,0.265,7542,Personal Expenses,Single,1,Living with Parents,Paid in Full,10420,Master or above,0.0,22798,0
2543,800,44825,Employed,0.1,29737,Home Purchase,Single,2,Living with Parents,No Previous Loan,1910,Master or above,0.0,22412,1
2544,742,76532,Employed,0.1,24496,Car Purchase,Married,2,Renter,No Previous Loan,18355,Bachelor,0.0,35491,1
2545,607,66221,Employed,0.215,13426,Home Purchase,Married,2,Renter,Defaulted,11747,Master or above,2139.407898603436,22983,1
2546,744,88333,Employed,0.1,8220,Car Purchase,Divorced,2,Owner,No Previous Loan,40479,Bachelor,0.0,41074,1
2547,540,35476,Employed,0.1,6073,Education,Married,4,Living with Parents,No Previous Loan,2078,High School,0.0,11973,0
2548,800,50611,Employed,0.253,10028,Car Purchase,Divorced,2,Renter,Paid in Full,8976,Master or above,0.0,25305,1
2549,800,53596,Employed,0.232,5450,Personal Expenses,Single,2,Renter,Paid in Full,4442,Bachelor,0.0,26798,1
2550,669,75351,Employed,0.245,10066,Education,Married,2,Living with Parents,No Previous Loan,28986,Master or above,0.0,31506,1
2551,514,40355,Employed,0.226,56769,Education,Single,1,Renter,Paid in Full,19893,High School,0.0,12964,0
2552,730,94838,Self-employed,0.193,6936,Car Purchase,Married,3,Renter,No Previous Loan,24217,Bachelor,0.0,43269,1
2553,300,0,Unemployed,0.134,27630,Home Purchase,Married,2,Living with Parents,Defaulted,13811,High School,55385.80514554496,0,0
2554,549,36594,Employed,0.252,32184,Personal Expenses,Married,2,Renter,No Previous Loan,7632,High School,0.0,12556,0
2555,626,0,Unemployed,0.353,5095,Personal Expenses,Married,1,Renter,No Previous Loan,15162,High School,0.0,0,0
2556,703,45987,Employed,0.15,6453,Education,Divorced,2,Owner,No Previous Loan,6128,Bachelor,0.0,20205,1
2557,800,223751,Employed,0.1,43684,Car Purchase,Single,2,Renter,Paid in Full,31683,High School,1774.1649401176894,110101,1
2558,603,48394,Employed,0.1,5943,Education,Married,1,Owner,Defaulted,3918,Bachelor,1202.6403725771604,17035,1
2559,622,138817,Employed,0.113,14162,Personal Expenses,Married,4,Renter,No Previous Loan,11544,Bachelor,0.0,53965,1
2560,439,31849,Self-employed,0.22,115357,Personal Expenses,Married,1,Renter,Defaulted,12202,Bachelor,23725.848785056183,0,0
2561,410,36580,Self-employed,0.1,39960,Education,Married,4,Renter,Defaulted,8471,Bachelor,22080.593635406345,0,0
2562,800,42565,Employed,0.244,16334,Personal Expenses,Married,2,Renter,Paid in Full,10126,Bachelor,0.0,21282,1
2563,800,39310,Employed,0.264,34770,Education,Married,3,Renter,Paid in Full,14282,Bachelor,0.0,19655,1
2564,739,52478,Employed,0.1,14184,Home Purchase,Single,0,Owner,No Previous Loan,6341,High School,0.0,24238,1
2565,564,42096,Employed,0.102,41524,Education,Single,1,Renter,No Previous Loan,18403,Bachelor,0.0,14838,0
2566,618,39832,Employed,0.208,1938,Education,Married,2,Renter,No Previous Loan,4460,High School,0.0,15385,0
2567,578,107080,Employed,0.186,13049,Home Purchase,Single,1,Renter,Paid in Full,3190,Master or above,0.0,38682,1
2568,704,110635,Self-employed,0.252,1862,Car Purchase,Single,2,Renter,Paid in Full,2271,High School,0.0,48679,1
2569,560,0,Unemployed,0.186,17626,Education,Divorced,2,Renter,Defaulted,3199,High School,40153.77309146527,0,0
2570,598,77971,Employed,0.326,11844,Personal Expenses,Married,4,Renter,No Previous Loan,14081,Bachelor,0.0,29141,1
2571,485,0,Unemployed,0.168,58485,Personal Expenses,Single,1,Renter,Paid in Full,8955,Master or above,1427.9631803054162,0,0
2572,647,46797,Employed,0.102,30565,Personal Expenses,Single,0,Renter,No Previous Loan,12779,Bachelor,0.0,18923,0
2573,486,37254,Employed,0.1,8863,Home Purchase,Married,2,Renter,Defaulted,8607,High School,11400.57780549503,0,0
2574,517,71940,Employed,0.274,9992,Education,Divorced,1,Renter,Defaulted,2038,High School,138849.78675800993,0,0
2575,800,33365,Employed,0.203,21949,Education,Married,1,Owner,No Previous Loan,14991,Bachelor,0.0,16682,1
2576,615,0,Unemployed,0.263,8461,Car Purchase,Married,1,Owner,Paid in Full,5623,High School,0.0,0,0
2577,677,106783,Employed,0.261,14522,Home Purchase,Single,2,Renter,No Previous Loan,8930,Bachelor,0.0,45182,1
2578,686,155192,Employed,0.1,55966,Home Purchase,Married,3,Renter,No Previous Loan,70299,Master or above,0.0,66538,1
2579,714,73038,Employed,0.1,6546,Home Purchase,Married,3,Living with Parents,Paid in Full,3118,Master or above,0.0,32593,1
2580,612,104331,Employed,0.1,9586,Personal Expenses,Single,1,Renter,No Previous Loan,13286,Master or above,0.0,39906,1
2581,668,53059,Self-employed,0.118,11029,Home Purchase,Single,2,Renter,No Previous Loan,39186,High School,0.0,22152,0
2582,636,30738,Employed,0.158,352878,Home Purchase,Single,0,Renter,No Previous Loan,14696,Master or above,0.0,12218,0
2583,600,81485,Employed,0.3,27557,Home Purchase,Divorced,1,Renter,No Previous Loan,8303,High School,0.0,30556,1
2584,774,79757,Employed,0.32,46530,Personal Expenses,Married,2,Renter,Paid in Full,28000,Bachelor,0.0,38582,1
2585,600,62189,Employed,0.171,32335,Home Purchase,Single,0,Renter,No Previous Loan,21276,Master or above,0.0,23320,1
2586,800,53152,Employed,0.175,34585,Home Purchase,Single,0,Owner,Paid in Full,105166,Bachelor,0.0,26576,1
2587,589,97071,Employed,0.129,24085,Car Purchase,Single,0,Owner,Defaulted,1053,Master or above,113560.89694495275,0,1
2588,732,36652,Employed,0.209,21613,Car Purchase,Single,1,Owner,No Previous Loan,22027,High School,0.0,16768,1
2589,592,40749,Self-employed,0.22,3515,Car Purchase,Single,4,Owner,Paid in Full,5345,High School,0.0,15077,0
2590,636,36244,Self-employed,0.281,21454,Personal Expenses,Single,0,Renter,Paid in Full,30632,High School,0.0,14406,0
2591,563,62604,Self-employed,0.28,13459,Home Purchase,Married,2,Renter,Paid in Full,3351,High School,842.3087548876579,21186,0
2592,759,34827,Employed,0.1,25880,Home Purchase,Divorced,1,Renter,No Previous Loan,96749,Master or above,0.0,16521,1
2593,528,42615,Employed,0.185,13973,Home Purchase,Single,0,Renter,No Previous Loan,2940,Bachelor,0.0,14062,0
2594,800,42159,Employed,0.338,32175,Personal Expenses,Single,1,Owner,No Previous Loan,2403,Bachelor,0.0,21079,1
2595,696,52669,Self-employed,0.156,38397,Home Purchase,Married,2,Living with Parents,No Previous Loan,1392,High School,0.0,22911,0
2596,643,28521,Employed,0.314,815,Personal Expenses,Single,0,Renter,Paid in Full,2402,High School,0.0,11461,0
2597,578,62674,Employed,0.169,9719,Personal Expenses,Single,0,Renter,No Previous Loan,17118,Bachelor,0.0,22640,1
2598,681,111943,Employed,0.217,2341,Car Purchase,Single,0,Owner,No Previous Loan,56880,Bachelor,0.0,47645,1
2599,619,64205,Employed,0.1,19048,Personal Expenses,Single,1,Living with Parents,Paid in Full,2740,High School,0.0,24839,1
2600,795,129671,Employed,0.1,11104,Education,Single,1,Owner,Paid in Full,10429,Bachelor,0.0,64430,1
2601,675,116902,Employed,0.273,58199,Education,Married,1,Renter,Paid in Full,1958,High School,0.0,49318,1
2602,652,88518,Self-employed,0.288,18454,Education,Single,0,Renter,No Previous Loan,568,High School,0.0,36071,0
2603,621,62282,Employed,0.203,9230,Education,Single,2,Living with Parents,No Previous Loan,5892,High School,0.0,24173,1
2604,800,60678,Employed,0.1,38344,Home Purchase,Single,0,Renter,No Previous Loan,57571,Bachelor,0.0,30339,1
2605,746,87903,Employed,0.204,10911,Education,Single,2,Renter,No Previous Loan,836,Bachelor,0.0,40984,1
2606,675,49328,Employed,0.326,9116,Personal Expenses,Married,2,Owner,No Previous Loan,16308,Master or above,0.0,20810,1
2607,779,23408,Employed,0.374,22235,Car Purchase,Married,3,Renter,Paid in Full,2402,Master or above,0.0,11396,1
2608,561,76734,Self-employed,0.168,75265,Personal Expenses,Single,4,Renter,No Previous Loan,3147,High School,0.0,26904,0
2609,475,34083,Employed,0.1,35219,Home Purchase,Divorced,1,Renter,Defaulted,7070,Bachelor,1344.9105999619803,8773,0
2610,741,37087,Self-employed,0.284,26442,Personal Expenses,Married,1,Renter,Paid in Full,12691,Master or above,0.0,17175,1
2611,791,60006,Employed,0.172,234862,Education,Married,1,Renter,No Previous Loan,2107,High School,0.0,29665,1
2612,744,57213,Employed,0.294,7211,Education,Single,0,Renter,No Previous Loan,13403,High School,0.0,26604,1
2613,769,29615,Self-employed,0.228,7052,Personal Expenses,Single,1,Owner,No Previous Loan,15139,Master or above,0.0,14233,1
2614,800,65175,Employed,0.112,17350,Personal Expenses,Married,1,Renter,No Previous Loan,3621,Master or above,0.0,32587,1
2615,783,97262,Employed,0.206,68243,Car Purchase,Single,0,Owner,No Previous Loan,4234,Bachelor,0.0,47597,1
2616,562,34129,Employed,0.331,5849,Personal Expenses,Single,2,Renter,Defaulted,3408,High School,100868.76040799443,0,0
2617,740,113361,Employed,0.185,86714,Home Purchase,Divorced,1,Renter,Paid in Full,37594,High School,0.0,52429,1
2618,559,27502,Self-employed,0.1,3557,Car Purchase,Married,2,Renter,No Previous Loan,15686,Bachelor,0.0,9608,0
2619,714,172950,Employed,0.1,13287,Personal Expenses,Single,1,Renter,Paid in Full,6249,High School,997.8889681772699,76181,1
2620,643,48848,Self-employed,0.123,17841,Home Purchase,Married,1,Renter,Defaulted,9038,Bachelor,24112.952245329303,0,0
2621,663,64531,Self-employed,0.159,6205,Home Purchase,Married,2,Renter,Paid in Full,37549,High School,0.0,26740,0
2622,774,23297,Employed,0.282,8059,Education,Single,0,Living with Parents,Paid in Full,29823,Bachelor,0.0,11269,1
2623,779,0,Unemployed,0.1,33270,Car Purchase,Single,1,Renter,No Previous Loan,42836,High School,0.0,0,0
2624,622,67261,Employed,0.355,63409,Car Purchase,Single,0,Owner,No Previous Loan,14611,High School,0.0,26147,1
